Word,Root,Affix,Tag,PoS_root,PoS_word,tag_splitted
алмаларыңарды,алма,ларыңарды,PL_POSS_2PL_ACC,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ACC']"
ойчулдарыңды,ойчул,дарыңды,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
сапаттарымдан,сапат,тарымдан,PL_POSS_1SG_ABL,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ABL']"
окумуштуумдун,окумуштуу,мдун,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
көтөрүңүздөр,Көтөр,үңүздөр,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
чырагыңарга,чырак,ыңарга,POSS_2PL_DAT,NOUN,NOUN,"['POSS', '2PL', 'DAT']"
суктанган,суктан,ган,PST_INDF_PERS_3SG,VERB,VERB,"['PST', 'INDF', 'PERS', '3SG']"
иштебес,Иште,бе-с,PCP_FUT_NEG,VERB,VERB,"['PCP', 'FUT', 'NEG']"
талашмакбыз,талаш,мак-быз,INF_4_1PL,VERB,VERB,"['INF', '4', '1PL']"
алышып,алыш,ып,ADVV_ACC,VERB,VERB,"['ADVV', 'ACC']"
барышпайт,Бар,ыш-па-й-т,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
тарыхсыздар,тарых,сыздар,PERS_2PLF,NOUN,NOUN,"['PERS', '2PLF']"
учмак,Уч,мак,INF_4,VERB,VERB,"['INF', '4']"
санаптыр,Сана,птыр-сыз,PST_EVID_2SGF,VERB,VERB,"['PST', 'EVID', '2SGF']"
жыйнагым,Жыйна,гым,INF_5_POSS_1SG,VERB,VERB,"['INF', '5', 'POSS', '1SG']"
чыккансыздар,Чык,кан-сыз-дар,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
жазуучуңуздун,жазуучу,ңуздун,POSS_2SGF_GEN,NOUN,NOUN,"['POSS', '2SGF', 'GEN']"
балкаларыңыздарды,балка,ларыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
ырсыз,ыр,сыз,2SGF,NOUN,NOUN,['2SGF']
ойлонуптур,Ойлон,уптур,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
салсаңыздар,сал,саң-ыздар,COND_POSS_2PLF,VERB,VERB,"['COND', 'POSS', '2PLF']"
суктандың,суктан,дың,PST_DEF_POSS_2SG,VERB,VERB,"['PST', 'DEF', 'POSS', '2SG']"
дүкөнүңүзгө,дүкөн,үңүзгө,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
периштеде,периште,де,LOC,NOUN,NOUN,['LOC']
мырзаларыбыздын,мырза,ларыбыздын,PL_POSS_1PL_GEN,NOUN,NOUN,"['PL', 'POSS', '1PL', 'GEN']"
сапаттап,сапатта,п,ADVV_ACC,VERB,VERB,"['ADVV', 'ACC']"
кагаздардан,кагаз,дардан,PL_ABL,NOUN,NOUN,"['PL', 'ABL']"
ченедик,Чене,дик,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
дептерлериңиздин,дептер,лериңиздин,PL_POSS_2SGF_GEN,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'GEN']"
коштошуп жатасыңар,Коштош,уп-жатасыңар,PRES_2PL,VERB,VERB,"['PRES', '2PL']"
жетимиш сегизче,жетимиш сегиз,че,NUM_APPR1,NUM,NUM,"['NUM', 'APPR1']"
дарбыздарыңардын,дарбыз,дарыңардын,PL_POSS_2PL_GEN,NOUN,NOUN,"['PL', 'POSS', '2PL', 'GEN']"
студентим,студент,им,POSS_1SG,NOUN,NOUN,"['POSS', '1SG']"
жерден,жер,ден,ABL,NOUN,NOUN,['ABL']
жатканча,Жат,канча,ADVV_SUC,VERB,VERB,"['ADVV', 'SUC']"
мыйзамыбызды,мыйзам,ыбызды,POSS_1PL_ACC,NOUN,NOUN,"['POSS', '1PL', 'ACC']"
дүкөндөрүңү,дүкөн,дөрүңү,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
аткарыптырсыз,аткар,ыптыр-сыз,PST_EVID_2SGF,VERB,VERB,"['PST', 'EVID', '2SGF']"
сүттөрүңүн,сүт,төрүңүн,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
жашайсыз,Жаша,й-сыз,FUT_DEF_2SGF,VERB,VERB,"['FUT', 'DEF', '2SGF']"
чаптабайсыңар,Чапта,ба-йсыңар,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
алтымыш төрттүн,алтымыш төрт,түн,GEN,NUM,NUM,['GEN']
жаткансыздар,Жат,кан-сыз-дар,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
жуурсуңар,Жуу,р-суңар,FUT_INDF_2PL,VERB,VERB,"['FUT', 'INDF', '2PL']"
он бешинчиге ,он беш ,инчи-ге ,NUM_ORD_DAT,NUM,NUM,"['NUM', 'ORD', 'DAT']"
ачкансыз,Ач,кан-сыз,PST_INDF_2SGF,VERB,VERB,"['PST', 'INDF', '2SGF']"
аткарыңыздар,аткар,ыңыздар,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
басмаксыздар,Бас,мак-сыздар,INF_4_2PLF,VERB,VERB,"['INF', '4', '2PLF']"
жамабаган,Жама,ба-ган,NEG_PST_INDF_3SG,VERB,VERB,"['NEG', 'PST', 'INDF', '3SG']"
ташыгым,Ташы,гым,INF_5_POSS_1SG,VERB,VERB,"['INF', '5', 'POSS', '1SG']"
кошуу,Кош,уу,INF_2,VERB,VERB,"['INF', '2']"
өтпөймүн,өт,пө-ймүн,NEG_1SG,VERB,VERB,"['NEG', '1SG']"
ойлонууга,Ойлон,уу-га,DAT,VERB,NOUN,['DAT']
барам,Бар,а-м,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
энесин,эне,син,POSS_3PL_ACC,NOUN,NOUN,"['POSS', '3PL', 'ACC']"
философторуңузду,философ,торуңузду,PL_POSS_2SGF_ACC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ACC']"
сындап жатам,сында,п-жатам,PRES_POSS_1SG,VERB,VERB,"['PRES', 'POSS', '1SG']"
талашарсыз,талаш,ар-сыз,FUT_INDF_2SGF,VERB,VERB,"['FUT', 'INDF', '2SGF']"
каттап жатат,катта,п жатат,PRES_3SG,VERB,VERB,"['PRES', '3SG']"
он жетөө,он жети,өө,NUM_COLL,NUM,NUM,"['NUM', 'COLL']"
каттачусуздар,катта,чусуздар,PST_ITER_2PLF,VERB,VERB,"['PST', 'ITER', '2PLF']"
поезддердин,поезд,дердин,PL_GEN,NOUN,NOUN,"['PL', 'GEN']"
көтөрдүм,Көтөр,дүм,PST_DEF_POSS_1SG,VERB,VERB,"['PST', 'DEF', 'POSS', '1SG']"
күлүп жатасыздар,Күл,үп-жатасыздар,PRES_2PLF,VERB,VERB,"['PRES', '2PLF']"
куткармак,куткар,мак,INF_4,VERB,VERB,"['INF', '4']"
эстелигиңди,эстелик,иңди,POSS_2SG_ACC,NOUN,NOUN,"['POSS', '2SG', 'ACC']"
дүкөндөрүбүзгө,дүкөн,дөрүбүзгө,PL_POSS_1PL_DAT,NOUN,NOUN,"['PL', 'POSS', '1PL', 'DAT']"
байкамак,байка,мак,INF_4,VERB,VERB,"['INF', '4']"
актарсыздар,акта,р-сыздар,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
жездени,жезде,ни,ACC,NOUN,NOUN,['ACC']
бара жатасың,Бар,а-жат-а-сың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
кырк үчтү,кырк үч,тү,ACC,NUM,NUM,['ACC']
өтүлдү,өт,үл-дү,PASS_PST_DEF,VERB,VERB,"['PASS', 'PST', 'DEF']"
айтасыздар,Айт,а-сыздар,FUT_DEF_2PLF,VERB,VERB,"['FUT', 'DEF', '2PLF']"
студентиң,студент,иң,POSS_2SG,NOUN,NOUN,"['POSS', '2SG']"
меймандарыңызды,мейман,дарыңызды,PL_POSS_2SGF_ACC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ACC']"
макалдарыңыздын,макал,дарыңыздын,PL_POSS_2SGF_GEN,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'GEN']"
жеңмекбиз,Жең,мек-биз,INF_4_1PL,VERB,VERB,"['INF', '4', '1PL']"
шооламдан,шоола,мдан,POSS_1SG_ABL,NOUN,NOUN,"['POSS', '1SG', 'ABL']"
ашпозуңа,ашпоз,уңа,POSS_2SG_DAT,NOUN,NOUN,"['POSS', '2SG', 'DAT']"
чогултмаксыздар,Чогулт,мак-сыздар,INF_4_2PLF,VERB,VERB,"['INF', '4', '2PLF']"
кармабайт,Карма,ба-й-т,NEG_FUT_DEF_3SG,VERB,VERB,"['NEG', 'FUT', 'DEF', '3SG']"
сиңдилеримдин,сиңди,леримдин,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
жеңдиң,Жең,диң,PST_DEF_POSS_2SG,VERB,VERB,"['PST', 'DEF', 'POSS', '2SG']"
мезгилсиң,мезгил,сиң,PERS_2SG,NOUN,NOUN,"['PERS', '2SG']"
тиштеттир,Тиште,тир,CAUS_1,VERB,VERB,"['CAUS', '1']"
пайызыңыздан,пайыз,ыңыздан,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
токсон төрткө,токсон төрт,кө,DAT,NUM,NUM,['DAT']
чаптады,Чапта,ды,PST_DEF,VERB,VERB,"['PST', 'DEF']"
пайызга,пайыз,га,DAT,NOUN,NOUN,['DAT']
жетимиш бештин,жетимиш беш,тин,GEN,NUM,NUM,['GEN']
отуз алтынчыбыз,отуз алты,нчы-быз,NUM_ORD_1PL,NUM,NUM,"['NUM', 'ORD', '1PL']"
чыгыңыздар,Чык,ыңыздар,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
жатарсыз,Жат,ар-сыз,FUT_INDF_2SGF,VERB,VERB,"['FUT', 'INDF', '2SGF']"
ойчулсуң,ойчул,суң,PERS_2SG,NOUN,NOUN,"['PERS', '2SG']"
жомокторума,жомок,торума,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
жаткыла,Жат,кыла,IMP_PL,VERB,VERB,"['IMP', 'PL']"
мисалдарбыз,мисал,дарбыз,PL_PERS_1PL,NOUN,NOUN,"['PL', 'PERS', '1PL']"
берер,Бер,ер,PCP_FUT_DEF,VERB,VERB,"['PCP', 'FUT', 'DEF']"
жылмайып жатам,Жылмай,ып-жатам,PRES_POSS_1SG,VERB,VERB,"['PRES', 'POSS', '1SG']"
алтымыш тогузунчубуз,алтымыш тогуз,унчу-буз,NUM_ORD_1PL,NUM,NUM,"['NUM', 'ORD', '1PL']"
ачыптырсыздар,Ач,ыптыр-сыздар,PST_EVID_2PLF,VERB,VERB,"['PST', 'EVID', '2PLF']"
окумуштуум,окумуштуу,м,POSS_1SG,NOUN,NOUN,"['POSS', '1SG']"
темирлерин,темир,лерин,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
кошорсуз,Кош,ор-суз,FUT_INDF_2SGF,VERB,VERB,"['FUT', 'INDF', '2SGF']"
кубулдуң,кубул,дуң,PST_DEF_POSS_2SG,VERB,VERB,"['PST', 'DEF', 'POSS', '2SG']"
куштарыңызда,куш,тарыңызда,PL_POSS_2SGF_LOC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'LOC']"
самындарыбызда,самын,дарыбызда,PL_POSS_1PL_LOC,NOUN,NOUN,"['PL', 'POSS', '1PL', 'LOC']"
жасан,жаса,н,REFL,VERB,VERB,['REFL']
карамакмын,Кара,мак-мын,INF_4_1SG,VERB,VERB,"['INF', '4', '1SG']"
уюмдарыма,уюм,дарыма,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
баштап жатам,Башта,п-жатам,PRES_POSS_1SG,VERB,VERB,"['PRES', 'POSS', '1SG']"
ташышпайт,Ташы,ш-па-й-т,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
ойгонбочу,Ойгон,бо-чу,NEG_PST_ITER_3SG,VERB,VERB,"['NEG', 'PST', 'ITER', '3SG']"
уюмдарында,уюм,дарында,PL_POSS_3SG_LOC,NOUN,NOUN,"['PL', 'POSS', '3SG', 'LOC']"
жолдошторумда,жолдош,торумда,PL_POSS_1SG_LOC,NOUN,NOUN,"['PL', 'POSS', '1SG', 'LOC']"
арнаптыр,арна,птыр,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
жаппайсыңар,Жап,па-йсыңар,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
чыгармаң,чыгарма,ң,POSS_2SG,NOUN,NOUN,"['POSS', '2SG']"
билимдериңиздерди,билим,дериңиздерди,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
карадык,Кара,дык,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
жыйырма үчтүн,жыйырма үч,түн,GEN,NUM,NUM,['GEN']
жасашпайт,Жаса,ш-па-й-т,NEG_FUT_DEF_3PL,VERB,VERB,"['NEG', 'FUT', 'DEF', '3PL']"
жүгүрүп жатамын,Жүгүр,үп-жатамын,PRES_1SG,VERB,VERB,"['PRES', '1SG']"
уюмдарын,уюм,дарын,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
небереби,небере,би,INT,NOUN,NOUN,['INT']
кийип жатабыз,Кий,ип-жатабыз,PRES_1PL,VERB,VERB,"['PRES', '1PL']"
авторлорунда,автор,лорунда,PL_POSS_3SG_LOC,NOUN,NOUN,"['PL', 'POSS', '3SG', 'LOC']"
аткармаксыз,аткар,мак-сыз,INF_4_2SGF,VERB,VERB,"['INF', '4', '2SGF']"
актайын,акта,йын,HOR_SG,VERB,VERB,"['HOR', 'SG']"
өнөрүбүздө,өнөр,үбүздө,POSS_1PL_LOC,NOUN,NOUN,"['POSS', '1PL', 'LOC']"
бүктөбөйсүңөр,Бүктө,бө-йсүңөр,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
юристтериңе,юрист,териңе,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
шаарыңыздын,шаар,ыңыздын,POSS_2SGF_GEN,NOUN,NOUN,"['POSS', '2SGF', 'GEN']"
сурарсың,Сура,р-сың,FUT_INDF_2SG,VERB,VERB,"['FUT', 'INDF', '2SG']"
куткарыш,куткар,ыш,RECP,VERB,VERB,['RECP']
кийелик,Кий,елик,HOR_PL,VERB,VERB,"['HOR', 'PL']"
кубулабыз,кубул,абыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
мугалимдерибиздин,мугалим,дерибиздин,PL_POSS_2PL_GEN,NOUN,NOUN,"['PL', 'POSS', '2PL', 'GEN']"
сырдап жатасыздар,Сырда,п-жатасыздар,PRES_2PLF,VERB,VERB,"['PRES', '2PLF']"
канаттууларыңыздан,канаттуу,ларыңыздан,PL_POSS_2SGF_ABL,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ABL']"
мезгилибизди,мезгил,ибизди,POSS_1PL_ACC,NOUN,NOUN,"['POSS', '1PL', 'ACC']"
туруптурбуз,Тур,уптур-буз,PST_EVID_1PL,VERB,VERB,"['PST', 'EVID', '1PL']"
периштелерибизди,периште,лерибизди,PL_POSS_1PL_ACC,NOUN,NOUN,"['PL', 'POSS', '1PL', 'ACC']"
көрбөс,Көр,бө-с,PCP_FUT_NEG,VERB,VERB,"['PCP', 'FUT', 'NEG']"
студентиңизге,студент,иңизге,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
тогуз жүз миңче,тогуз жүз миң,че,NUM_APPR1,NUM,NUM,"['NUM', 'APPR1']"
ырлардын,ыр,лардын,PL_GEN,NOUN,NOUN,"['PL', 'GEN']"
алмаларыңыздарга,алма,ларыңыздарга,PL_POSS_2PLF_DAT,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'DAT']"
сырдар,Сырда,р,PCP_FUT_DEF,VERB,VERB,"['PCP', 'FUT', 'DEF']"
топтомойунча,топто,мойунча,ADVV_NEG,VERB,VERB,"['ADVV', 'NEG']"
унутчусуңар,Унут,чу-суңар,PST_ITER_2PL,VERB,VERB,"['PST', 'ITER', '2PL']"
жаппайсыз,Жап,па-йсыз,NEG_2SGF,VERB,VERB,"['NEG', '2SGF']"
апаларыбызга,апа,ларыбызга,PL_POSS_1PL_DAT,NOUN,NOUN,"['PL', 'POSS', '1PL', 'DAT']"
мугалимиме,мугалим,име,POSS_1SG_DAT,NOUN,NOUN,"['POSS', '1SG', 'DAT']"
бекитчүсүңөр,Бекит,чү-сүңөр,PST_ITER_2PL,VERB,VERB,"['PST', 'ITER', '2PL']"
айымдарыңыздан,айым,дарыңыздан,PL_POSS_2SGF_ABL,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ABL']"
саптайм,сапта,й-м,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
чогулткуча,Чогулт,куча,ADVV_SUC,VERB,VERB,"['ADVV', 'SUC']"
карындаштарыңызда,карындаш,тарыңызда,PL_POSS_2SGF_LOC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'LOC']"
ишендир,Ишен,дир,CAUS_1,VERB,VERB,"['CAUS', '1']"
өстүрчүсүздөр,Өстүр,чү-сүз-дөр,PST_ITER_2PLF,VERB,VERB,"['PST', 'ITER', '2PLF']"
канаттууларыңарга,канаттуу,ларыңарга,PL_POSS_2PL_DAT,NOUN,NOUN,"['PL', 'POSS', '2PL', 'DAT']"
макалыңдан,макал,ыңдан,POSS_2SG_ABL,NOUN,NOUN,"['POSS', '2SG', 'ABL']"
урбайсыздар,Ур,ба-йсыздар,NEG_2PLF,VERB,VERB,"['NEG', '2PLF']"
шоолаларыңыздарды,шоола,ларыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
чыныбыздын,чыны,быздын,POSS_1PL_GEN,NOUN,NOUN,"['POSS', '1PL', 'GEN']"
алтымыш беште,алтымыш беш,те,LOC,NUM,NUM,['LOC']
мекендербиз,мекен,дербиз,PL_PERS_1PL,NOUN,NOUN,"['PL', 'PERS', '1PL']"
билдир,Бил,дир,CAUS_1,VERB,VERB,"['CAUS', '1']"
чырактан,чырак,тан,ABL,NOUN,NOUN,['ABL']
философуңуздардын,философ,уңуздардын,POSS_2PLF_GEN,NOUN,NOUN,"['POSS', '2PLF', 'GEN']"
жыгачында,жыгач,ында,POSS_3PL_LOC,NOUN,NOUN,"['POSS', '3PL', 'LOC']"
жерибизге,жер,ибизге,POSS_1PL_DAT,NOUN,NOUN,"['POSS', '1PL', 'DAT']"
өрдөктөрүмдү,өрдөк,төрүмдү,PL_POSS_1SG_ACC,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ACC']"
урматтарсың,урматта,р-сың,FUT_INDF_2SG,VERB,VERB,"['FUT', 'INDF', '2SG']"
куткарарсың,куткар,ар-сың,FUT_INDF_2SG,VERB,VERB,"['FUT', 'INDF', '2SG']"
жомокторубузда,жомок,торубузда,PL_POSS_1PL_GEN,NOUN,NOUN,"['PL', 'POSS', '1PL', 'GEN']"
жыйноонун,Жыйна,оо-нун,GEN,VERB,NOUN,['GEN']
илип жатасың,Ил,ип-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
философторума,философ,торума,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
акылманыңа,акылман,ыңа,POSS_2SG_DAT,NOUN,NOUN,"['POSS', '2SG', 'DAT']"
чыгасыздар,Чык,а-сыздар,FUT_DEF_2PLF,VERB,VERB,"['FUT', 'DEF', '2PLF']"
каттап жатасыздар,катта,п-жатасыздар,PRES_2PLF,VERB,VERB,"['PRES', '2PLF']"
мугалимдеримдин,мугалим,деримдин,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
чаптагыла,Чапта,гыла,IMP_PL,VERB,VERB,"['IMP', 'PL']"
көчүрчүсүздөр,Көчүр,чү-сүз-дөр,PST_ITER_2PLF,VERB,VERB,"['PST', 'ITER', '2PLF']"
касапчыңардын,касапчы,ңардын,POSS_2PL_GEN,NOUN,NOUN,"['POSS', '2PL', 'GEN']"
токсон экинчимин,токсон эки,нчи-мин,NUM_ORD_1SG,NUM,NUM,"['NUM', 'ORD', '1SG']"
окуптур,Оку,птур,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
уюмдарыбызга,уюм,дарыбызга,PL_POSS_1PL_DAT,NOUN,NOUN,"['PL', 'POSS', '1PL', 'DAT']"
аткарар,аткар,ар,PCP_FUT_DEF,VERB,VERB,"['PCP', 'FUT', 'DEF']"
сатып,Сат,ып,ADVV_ACC,VERB,VERB,"['ADVV', 'ACC']"
жуубас,Жуу,ба-с ,FUT_INDF_NEG,VERB,VERB,"['FUT', 'INDF', 'NEG']"
үйрөнгүн,Үйрөн,гүн,IMP_SG,VERB,VERB,"['IMP', 'SG']"
кырк жетинчисиң,кырк жети,нчи-сиң,NUM_ORD_2SGF,NUM,NUM,"['NUM', 'ORD', '2SGF']"
баштоонун,Башта,оо-нун,GEN,VERB,NOUN,['GEN']
урматтачумун,урматта,чумун,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
достошпо,Достош,по,NEG,VERB,VERB,['NEG']
кайрыйсың,кайры,й-сың,FUT_DEF_2SG,VERB,VERB,"['FUT', 'DEF', '2SG']"
сүйлөчүбүз,Сүйлө,чү-бүз,PST_ITER_1PL,VERB,VERB,"['PST', 'ITER', '1PL']"
келгенбиз,Кел,ген-биз,PST_INDF_1PL,VERB,VERB,"['PST', 'INDF', '1PL']"
элчиңиздерде,элчи,ңиздерде,POSS_2PLF_LOC,NOUN,NOUN,"['POSS', '2PLF', 'LOC']"
тазаламаксыңар,Тазала,мак-сыңар,INF_4_2PL,VERB,VERB,"['INF', '4', '2PL']"
студенттериңизге,студент,териңизге,PL_POSS_2SGF_DAT,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'DAT']"
оюнуңдун,оюн,уңдун,POSS_2SG_GEN,NOUN,NOUN,"['POSS', '2SG', 'GEN']"
өнөрүмүн,өнөр,үмүн,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
эстептирсиңер,Эсте,птир-сиңер,PST_EVID_2PL,VERB,VERB,"['PST', 'EVID', '2PL']"
уралы,Ур,алы,HOR_PL,VERB,VERB,"['HOR', 'PL']"
балыгынын,балык,ынын,POSS_3SG_GEN,NOUN,NOUN,"['POSS', '3SG', 'GEN']"
басыптырсыздар,Бас,ыптыр-сыздар,PST_EVID_2PLF,VERB,VERB,"['PST', 'EVID', '2PLF']"
гүлүмө,гүл,үмө,POSS_1SG_DAT,NOUN,NOUN,"['POSS', '1SG', 'DAT']"
сүзүүдө,Сүз,үү-дө,LOC,VERB,NOUN,['LOC']
секирип жаттың,Секир,ип-жаттың,PRES_PST_2SG,VERB,VERB,"['PRES', 'PST', '2SG']"
апамы,апа,мы,POSS_1SG_ACC,NOUN,NOUN,"['POSS', '1SG', 'ACC']"
периштебизге,периште,бизге,POSS_1PL_GEN,NOUN,NOUN,"['POSS', '1PL', 'GEN']"
курабыз,кур,абыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
сатышты,Сат,ыш-ат,FUT_DEF_3PL,VERB,VERB,"['FUT', 'DEF', '3PL']"
майлуураак,майлуу,раак,COMP,ADJECTIVE,ADJECTIVE,['COMP']
чырагыңыздын,чырак,ыңыздын,POSS_2SGF_GEN,NOUN,NOUN,"['POSS', '2SGF', 'GEN']"
жаттадыңар,Жатта,ды-ңар,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
мугалимсиздер,мугалим,сиздер,PERS_2PLF,NOUN,NOUN,"['PERS', '2PLF']"
мекендериңерден,мекен,дериңерден,PL_POSS_2PL_ABL,NOUN,NOUN,"['PL', 'POSS', '2PL', 'ABL']"
созулушту,созул,ушту,RECP_PST_DEF_3SG,VERB,VERB,"['RECP', 'PST', 'DEF', '3SG']"
макалда,макал,да,LOC,NOUN,NOUN,['LOC']
баштасаң,Башта,саң,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
шоолаларыңызга,шоола,ларыңызга,PL_POSS_2SGF_DAT,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'DAT']"
ченеп жатат,Чене,п-жат-а-т,PRES_3SG,VERB,VERB,"['PRES', '3SG']"
элчилерден,элчи,лерден,PL_ABL,NOUN,NOUN,"['PL', 'ABL']"
карабайсыңар,Кара,ба-йсыңар,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
сапаттарыңарда,сапат,тарыңарда,PL_POSS_2PL_LOC,NOUN,NOUN,"['PL', 'POSS', '2PL', 'LOC']"
ырларыңды,ыр,ларыңды,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
шаарыңа,шаар,ыңа,POSS_2SG_DAT,NOUN,NOUN,"['POSS', '2SG', 'DAT']"
мактап жатасыңар,Макта,п-жатасыңар,PRES_2PL,VERB,VERB,"['PRES', '2PL']"
авторлорду,автор,лорду,PL_ACC,NOUN,NOUN,"['PL', 'ACC']"
уялабыз,уял,абыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
созгонсуңар,соз,гон-суңар,PST_INDF_2PL,VERB,VERB,"['PST', 'INDF', '2PL']"
токочторумдан,токоч,торумдан,PL_POSS_1SG_ABL,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ABL']"
окусун,Оку,сун,JUS_PL,VERB,VERB,"['JUS', 'PL']"
жазмаксың,Жаз,мак-сың,INF_4_2SG,VERB,VERB,"['INF', '4', '2SG']"
жазбайт,Жаз,ба-й-т,NEG_FUT_DEF_3SG,VERB,VERB,"['NEG', 'FUT', 'DEF', '3SG']"
темирлериме,темир,лериме,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
коркуттум,Коркут,тум,PST_DEF_POSS_1SG,VERB,VERB,"['PST', 'DEF', 'POSS', '1SG']"
ташымдын,таш,ымдын,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
айраның,айран,ың,POSS_2SG,NOUN,NOUN,"['POSS', '2SG']"
жомогуңузга,жомок,уңузга,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
өткүлө,өт,күлө,IMP_PL,VERB,VERB,"['IMP', 'PL']"
бүктөрмүн,Бүктө,р-мүн,FUT_INDF_1SG,VERB,VERB,"['FUT', 'INDF', '1SG']"
окумуштуумы,окумуштуу,мы,POSS_1SG_ACC,NOUN,NOUN,"['POSS', '1SG', 'ACC']"
адистериңе,адис,териңе,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
жатарсыздар,Жат,ар-сыздар,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
өттүк,өт,түк,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
каармандар,каарман,дар,PL,NOUN,NOUN,['PL']
